TransactionAmount,TimeOfDay,LocationMismatch,NewDevice,MultipleTxnPerHour,CardPresent,IsFraud
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,No,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,No,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,No,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,No,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,No,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,No,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,No,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,No,No,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,No,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
High,Night,Yes,Yes,Yes,No,Yes
Low,Afternoon,No,No,No,Yes,No
High,Night,Yes,No,Yes,No,Yes
Low,Morning,No,No,No,Yes,No
