HasLinks,HasAttachment,FrequentKeywords,SenderUnknown,SubjectAllCaps,EmailLength,IsSpam
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,No,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Medium,No
Yes,Yes,High,Yes,No,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Medium,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Medium,No
Yes,No,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,Medium,Yes,Yes,Long,Yes
No,No,Low,No,No,Medium,No
Yes,Yes,High,Yes,No,Long,Yes
No,No,Low,No,No,Short,No
Yes,No,High,Yes,Yes,Medium,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Medium,No,No,Medium,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,No,High,Yes,No,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Medium,No
Yes,Yes,Medium,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,No,High,Yes,Yes,Medium,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,No,Long,Yes
No,No,Low,No,No,Medium,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Medium,No,No,Short,No
Yes,No,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Short,No
Yes,Yes,High,Yes,Yes,Long,Yes
No,No,Low,No,No,Medium,No
Yes,Yes,High,Yes,No,Long,Yes
No,No,Low,No,No,Short,No
