Weather,TimeOfDay,EnergyLevel,Mood,HasPartner,GymNearby,VisitGym
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Sunny,Morning,High,Motivated,No,Yes,Yes
Rainy,Night,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Night,Low,Tired,No,No,No
Sunny,Morning,High,Motivated,No,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Afternoon,Low,Tired,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Windy,Night,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Cloudy,Afternoon,High,Motivated,Yes,Yes,Yes
Rainy,Morning,Low,Tired,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,No,Yes,Yes
Windy,Night,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Night,Low,Tired,No,No,No
Sunny,Morning,High,Bored,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Sunny,Afternoon,High,Motivated,Yes,Yes,Yes
Rainy,Morning,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,No,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Windy,Night,Low,Tired,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Afternoon,Low,Lazy,No,No,No
Sunny,Morning,High,Bored,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Night,Low,Tired,No,No,No
Cloudy,Afternoon,High,Motivated,Yes,Yes,Yes
Sunny,Morning,High,Motivated,No,Yes,Yes
Windy,Morning,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Cloudy,Morning,High,Bored,Yes,Yes,Yes
Rainy,Afternoon,Low,Tired,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Night,Low,Lazy,No,No,No
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Windy,Afternoon,Low,Tired,No,No,No
Sunny,Morning,High,Bored,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,No,Yes,Yes
Sunny,Morning,High,Motivated,Yes,Yes,Yes
Rainy,Morning,Low,Tired,No,No,No
Sunny,Afternoon,High,Motivated,Yes,Yes,Yes
Cloudy,Morning,High,Motivated,Yes,Yes,Yes
Sunny,Morning,High,Motivated,Yes,Yes,Yes
