SoilMoisture,Sunlight,Temperature,Season,LastWatered,PlantType,WaterPlant
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,Medium,Warm,Spring,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Warm,Spring,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,Medium,Warm,Spring,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Warm,Spring,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Indoor,Yes
Dry,High,Warm,Spring,Long,Outdoor,Yes
Dry,Medium,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Warm,Spring,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,Medium,Warm,Spring,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Warm,Spring,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,Medium,Warm,Spring,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Warm,Spring,Long,Indoor,Yes
Wet,Low,Cold,Winter,Recent,Outdoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,Medium,Warm,Spring,Long,Indoor,Yes
Dry,High,Hot,Summer,Long,Outdoor,Yes
Wet,Low,Cold,Winter,Recent,Indoor,No
Dry,High,Warm,Spring,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Outdoor,Yes
Dry,High,Hot,Summer,Long,Outdoor,Yes
